Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1783452,0.0,0.2502579735896905,105.78571428571429,0.53144914,0.0240035,0.24551002232425184,0.10894751066835709,0.010320483,0.09574367,0.00029984466,0.21987328,1.5433856
20000,2.086987,0.0,0.6062624740237691,55.689655172413794,0.37028083,0.084206246,0.6156973124578081,0.05633936710816262,0.017878497,0.10559197,0.00029956215,0.08272494,1.0770696
30000,1.9519916,0.0,0.6787519575475693,46.734883720930235,0.47191522,0.116274,0.6696899154851603,0.0651475248511794,0.021791533,0.10168747,0.00029924934,0.12745282,0.5711808
40000,1.7856721,2.0,0.8423557580309772,30.03361344537815,0.5632925,0.13559468,0.8428103225500514,0.04442169637298484,0.018248718,0.101122536,0.00029893577,0.11361875,0.34437948
50000,1.6465539,2.0,-0.05397349885029216,150.95238095238096,0.20560408,0.12237659,-0.03875810580868875,0.128057605586946,0.011974645,0.09204104,0.0002986464,0.068380386,0.14652427
60000,1.6942648,2.0,0.0946097950786125,127.4390243902439,0.09189372,0.089630164,0.09464224482454904,0.08121468385159061,0.016410107,0.0940054,0.00029835958,0.062137984,0.174631
70000,1.7566041,2.0,0.20332132751705595,125.53012048192771,0.10923163,0.06980091,0.1804256776729262,0.06965349215722408,0.018478096,0.10001705,0.0002980483,0.05236988,0.17912963
80000,1.7757742,2.0,0.2906071790494025,119.54761904761905,0.09349707,0.060093988,0.31319839294467655,0.06764668004498595,0.019409556,0.10474958,0.00029773865,0.05696041,0.19232029
90000,1.7830585,2.0,0.4283524170163132,98.86666666666666,0.21039549,0.0598327,0.412653957094465,0.06523877101107722,0.021081693,0.09715078,0.0002974561,0.06480638,0.241793
100000,1.7873214,2.0,0.5155333641780696,86.63333333333334,0.30525595,0.06346299,0.5292805473009745,0.06429052756090338,0.02177516,0.09930568,0.00029717427,0.072106406,0.26783076
110000,1.7751158,2.0,0.682023465175007,72.5625,0.3651669,0.076560624,0.668385413242504,0.056917593195976224,0.020994537,0.09796865,0.00029686344,0.07314365,0.25715238
120000,1.751812,2.0,0.7282235780326527,62.4251497005988,0.46975783,0.08103224,0.7280239498543882,0.053801189444423796,0.019039253,0.09903973,0.00029655188,0.082327805,0.24755034
130000,1.7078099,3.0,0.7760191795298423,55.02873563218391,0.54799277,0.08736949,0.7773371636867523,0.05161851066186082,0.01413515,0.09563826,0.00029624408,0.08496027,0.23109515
140000,1.706181,3.0,0.7227189785928703,66.69934640522875,0.49165466,0.08797351,0.7206535910079682,0.05554951368252826,0.013901375,0.094972715,0.00029593543,0.080216125,0.21641648
150000,1.640808,3.0,0.7815646865847902,53.62841530054645,0.5485446,0.0859027,0.7814262372548463,0.04218630857709693,0.011937863,0.100181736,0.0002956273,0.073531926,0.19067088
