Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.185909,0.0,0.18553255714771405,113.95121951219512,-0.057837453,0.099476896,0.2001357796015563,0.27763058702794857,0.09627214,0.10099752,0.00029984236,0.3976168,1.2710867
20000,1.9573592,0.0,0.6037765188072673,56.10982658959538,0.2526577,0.30647483,0.5925067423740563,0.3484156874083844,0.035130914,0.10242219,0.00029955897,0.4310879,0.8640205
30000,1.7069764,1.0,0.17955188936967817,106.58888888888889,0.25788403,0.46243888,0.20124442312452528,0.3593915986311105,0.014011202,0.09835895,0.00029924503,0.28274977,0.97772694
40000,1.2634566,1.0,-0.6990158108528703,220.6904761904762,0.049686022,0.59161454,-0.6990159423578353,1.0681089681706257,0.011562437,0.09436276,0.0002989275,0.3458907,0.5829388
50000,1.1970899,1.0,-0.6005460415184102,207.0212765957447,-0.04778172,0.5191488,-0.6088681196173032,0.6275760004064068,0.008744443,0.10382715,0.0002986433,0.25362307,0.40847024
60000,1.064301,1.0,-0.38487267305820505,185.6727272727273,-0.09010948,0.37699354,-0.3848727757280523,0.40294188125143676,0.009804823,0.10046174,0.00029836045,0.21425295,0.26463622
70000,1.0970895,1.0,-0.13927952396578244,154.51612903225808,-0.064990684,0.2863333,-0.1251912908475907,0.32979471496016277,0.014108917,0.09298493,0.00029804945,0.19683772,0.26533395
80000,1.0431621,1.0,-0.09745889215433187,146.30434782608697,-0.021853676,0.2625795,-0.11033336562769754,0.31163037823779244,0.013596097,0.09549062,0.00029773606,0.19804493,0.29783112
90000,0.9457788,1.0,-0.01692977971029713,134.52631578947367,0.024542402,0.28805625,-0.0038578009605407717,0.25493733695397774,0.01422972,0.10297436,0.00029745398,0.15907478,0.20806842
100000,1.132689,1.0,0.28598683143016135,100.58415841584159,0.106546566,0.24415128,0.283963320851326,0.1401610018964857,0.02013151,0.09756406,0.00029716868,0.1372926,0.30096373
110000,1.1060221,1.0,0.25210490507555056,104.31460674157303,0.12999862,0.2151769,0.23382220566272735,0.17346328212879597,0.020101625,0.09937712,0.00029685214,0.15353638,0.27633038
120000,1.1352801,1.0,0.5596044726980229,69.02666666666667,0.3078561,0.20380785,0.5596399998664856,0.09811694102517018,0.020672685,0.10103536,0.00029654047,0.13711166,0.3554244
130000,1.1053787,1.0,0.7014556370380723,51.03517587939699,0.5612191,0.19040541,0.7014422216008057,0.06348084094676765,0.017364029,0.09789261,0.00029623212,0.112721816,0.2752965
140000,1.062812,1.0,0.7245087059479071,48.354166666666664,0.5702522,0.18096593,0.724501749034971,0.04847228646879861,0.016384257,0.103675045,0.000295925,0.092759565,0.20965202
150000,1.1240813,2.0,0.6005307308545238,62.625,0.51541847,0.17575182,0.6023769129335491,0.07707815628279657,0.013735398,0.09692141,0.000295647,0.09892568,0.22516143
160000,1.2185346,2.0,-0.5272028369211551,206.2391304347826,0.00722862,0.18990004,-0.5272029554066451,0.3520055861875374,0.008663695,0.09423595,0.0002953575,0.16244933,0.34256774
170000,1.1542764,2.0,-0.7079703069085048,219.75555555555556,-0.19132426,0.18628049,-0.7079704331027137,0.3569073772057891,0.0057238704,0.100247845,0.00029504867,0.14865531,0.2612136
180000,1.1563818,2.0,-0.7935302358395844,230.70454545454547,-0.27989158,0.1795758,-0.7887597548407178,0.34907434027382106,0.0056102094,0.10236003,0.00029473464,0.1499088,0.2893224
190000,1.1070055,2.0,-0.7849364426940502,230.1904761904762,-0.3075499,0.1662429,-0.7849048305125463,0.35821197483511197,0.0040694117,0.1013975,0.00029445166,0.14705761,0.24702558
200000,1.0864046,2.0,-0.5466240509314105,209.36170212765958,-0.23484468,0.16580011,-0.5560695019861063,0.31364102521911263,0.010432305,0.0977539,0.00029416982,0.14149287,0.21211989
210000,1.0884635,2.0,-0.6938295671561112,221.73333333333332,-0.26053962,0.17789231,-0.6938296960459815,0.2953728794741134,0.0042398493,0.09708172,0.00029385317,0.13808516,0.22406752
220000,1.0995332,2.0,-0.5599184549827543,221.53333333333333,-0.22870775,0.1511912,-0.5599185824394226,0.2786404943507579,0.010430788,0.09907667,0.0002935396,0.11868753,0.21531487
230000,1.0995547,2.0,-0.755037814585111,226.9090909090909,-0.29483852,0.13475747,-0.7494031689887823,0.2682264537745437,0.0052310354,0.101156995,0.00029322537,0.114456974,0.26618162
240000,1.0627587,2.0,-0.7670554898047287,231.73809523809524,-0.28438047,0.13023515,-0.7724109181137973,0.2737894877141645,0.0044346657,0.09849181,0.00029294664,0.11165688,0.19594304
250000,1.0210673,2.0,-0.6030763280480945,216.79166666666666,-0.26563013,0.1319336,-0.6030764585981766,0.2299037273429955,0.008452748,0.096573,0.00029266527,0.103467904,0.17799537
260000,1.0515939,2.0,-0.529597163675741,203.77083333333334,-0.22395012,0.12604648,-0.529597282409668,0.21291129572394615,0.008747044,0.097888105,0.00029235333,0.105421826,0.19496457
270000,1.1384583,2.0,-0.539986609434709,203.52,-0.19595146,0.117680356,-0.5306531178707979,0.24297855810585375,0.008223801,0.09999448,0.00029203747,0.12017883,0.24883144
280000,1.09997,2.0,-0.35550321405296964,185.50980392156862,-0.1642798,0.1250684,-0.36784620583057404,0.2533055566645299,0.010742867,0.1049688,0.00029175315,0.13386483,0.2653765
290000,1.0838921,2.0,-0.6370150899271142,214.5909090909091,-0.1813878,0.13215885,-0.6370152106339281,0.26188970355063,0.0072751334,0.09820687,0.0002914666,0.11932273,0.21316405
300000,1.0443383,2.0,-0.4675101471152537,197.0,-0.18593615,0.13280569,-0.46751025805667956,0.2543172251756246,0.008276302,0.10026871,0.00029115524,0.122656986,0.19074517
310000,1.0459994,2.0,-0.851652108244193,233.06521739130434,-0.2748228,0.11727473,-0.8516522412714751,0.2602544008227794,0.0028808203,0.09785689,0.00029084255,0.103733264,0.16992114
320000,1.0471418,2.0,-0.45009994014166294,196.0,-0.30798572,0.11287925,-0.4501000541448593,0.23359874772257172,0.011233342,0.10388672,0.00029053137,0.11612086,0.1418747
330000,0.9707845,2.0,-0.7568369726702157,226.48888888888888,-0.2982378,0.12932293,-0.7568371011151208,0.27121417559683325,0.0052760867,0.10357831,0.00029025006,0.11050443,0.14796226
340000,0.81101876,2.0,-0.3950832762549488,188.57692307692307,-0.26134568,0.12610407,-0.39508338272571564,0.18533159018261358,0.009991505,0.09194272,0.00028996856,0.10094869,0.13617077
350000,0.9818265,2.0,-0.5604147554633931,205.24444444444444,-0.21304817,0.11386197,-0.5604148732291327,0.17819871430595716,0.008717737,0.10385938,0.0002896554,0.09151919,0.1308831
360000,0.7717952,2.0,-0.48746907757164015,203.66666666666666,-0.18492395,0.10331234,-0.4778239535835554,0.17388566229316704,0.010045552,0.10018005,0.00028934362,0.08051102,0.104526654
370000,0.8102468,2.0,-0.5579681938148237,209.42857142857142,-0.20052108,0.1010875,-0.5682171167329301,0.1637650872621317,0.0064240494,0.097011656,0.0002890285,0.08147088,0.100431226
380000,0.92718863,2.0,-0.4771048815843339,196.46296296296296,-0.16895884,0.09132741,-0.46726420184351364,0.15073164273932013,0.01077828,0.09945245,0.00028874498,0.07145116,0.11183471
390000,0.98375726,2.0,-0.4136794326432909,188.51923076923077,-0.18918744,0.09938875,-0.4247170309975462,0.1609082473793401,0.008421419,0.09374831,0.00028846296,0.08005547,0.14962125
400000,0.9615314,2.0,-0.5212916091744167,201.64583333333334,-0.17531954,0.09092467,-0.5212917253375053,0.17344852311362047,0.008394716,0.10404293,0.00028815138,0.08222847,0.14617127
410000,0.90371424,2.0,-0.6024599429173395,204.02,-0.24884753,0.10441513,-0.594347000730281,0.19493170521621192,0.0063454136,0.09721357,0.00028783915,0.096733935,0.13597277
420000,0.9536264,2.0,-0.6395416074471237,210.5,-0.2643217,0.113819174,-0.6395972811927398,0.22214878030354157,0.006846586,0.09677054,0.0002875253,0.09741409,0.13883181
430000,0.9029335,2.0,-0.6291804947541095,207.875,-0.26578045,0.11988574,-0.6366939325721896,0.19312918682259564,0.00543295,0.097110234,0.00028724436,0.08439091,0.13189444
440000,0.93736386,2.0,-0.40566661302456813,183.3921568627451,-0.2574151,0.10090462,-0.4056667142054614,0.1364191081009659,0.0110286325,0.10207305,0.00028696493,0.07440743,0.124033585
450000,1.0524492,2.0,-0.5758399413898587,202.52,-0.25546604,0.08203176,-0.5672381483778661,0.136353089160533,0.0066083134,0.09808418,0.00028665672,0.06558631,0.14374962
460000,1.0928308,2.0,-0.5135255845559116,194.25,-0.24921496,0.06911422,-0.5135256917430804,0.13767774609956318,0.008216798,0.09981005,0.00028634132,0.06589864,0.15455295
